Company Name,Matched Name,Financial Year,Report End Year,Company Status,Failure Reason,Attempted URLs
NBI Industrial Finance Co. Ltd.,NBI Industrial Finance Company Ltd,FY2019-20,2020,SUCCESS,response is not a valid PDF,https://archives.nseindia.com/annual_reports/AR_17197_NBIFIN_2019_2020_03092020160217_03092020170002.zip
NBI Industrial Finance Co. Ltd.,NBI Industrial Finance Company Ltd,FY2020-21,2021,SUCCESS,response is not a valid PDF,https://archives.nseindia.com/annual_reports/AR_18947_NBIFIN_2020_2021_27082021132828_08272021193604.zip
NBI Industrial Finance Co. Ltd.,NBI Industrial Finance Company Ltd,FY2021-22,2022,SUCCESS,response is not a valid PDF,https://archives.nseindia.com/annual_reports/AR_20302_NBIFIN_2021_2022_09072022153037_07092022160003.zip
NBI Industrial Finance Co. Ltd.,NBI Industrial Finance Company Ltd,FY2022-23,2023,SUCCESS,response is not a valid PDF,https://archives.nseindia.com/annual_reports/AR_22468_NBIFIN_2022_2023_21072023095520_07212023100002.zip
Naga Dhunseri Group Ltd.,Naga Dhunseri Group Ltd,FY2016-17,2017,SUCCESS,response is not a valid PDF,https://archives.nseindia.com/annual_reports/AR_11112_NDGL_2016_2017_17082017123638.zip
Naga Dhunseri Group Ltd.,Naga Dhunseri Group Ltd,FY2017-18,2018,SUCCESS,response is not a valid PDF,https://archives.nseindia.com/annual_reports/AR_13040_NDGL_2017_2018_14082018130957.zip
Naga Dhunseri Group Ltd.,Naga Dhunseri Group Ltd,FY2018-19,2019,SUCCESS,response is not a valid PDF,https://archives.nseindia.com/annual_reports/AR_15099_NDGL_2018_2019_02082019173733_02082019180005.zip
Naga Dhunseri Group Ltd.,Naga Dhunseri Group Ltd,FY2019-20,2020,SUCCESS,response is not a valid PDF,https://archives.nseindia.com/annual_reports/AR_17234_NDGL_2019_2020_04092020104705_04092020110004.zip
Naga Dhunseri Group Ltd.,Naga Dhunseri Group Ltd,FY2020-21,2021,SUCCESS,response is not a valid PDF,https://archives.nseindia.com/annual_reports/AR_18869_NDGL_2020_2021_24082021182138_24082021190005.zip
Naga Dhunseri Group Ltd.,Naga Dhunseri Group Ltd,FY2021-22,2022,SUCCESS,response is not a valid PDF,https://archives.nseindia.com/annual_reports/AR_20630_NDGL_2021_2022_05082022194937_08052022200011.zip
