Company Name,Matched Name,Financial Year,Report End Year,Source Type,Source URL,Download Status,GitHub Release Asset,Notes
Abhishek Finlease Ltd.,Abhishek Finlease Ltd,FY2021-22,2022,Screener/BSE index,https://www.bseindia.com/bseplus/AnnualReport/538935/75648538935.pdf,DOWNLOADED,Abhishek_Finlease_Ltd.zip,
Abhishek Finlease Ltd.,Abhishek Finlease Ltd,FY2022-23,2023,Screener/BSE index,https://www.bseindia.com/xml-data/corpfiling/AttachHis/6dcc072b-3852-414c-8ff9-72a6d2a01d55.pdf,DOWNLOADED,Abhishek_Finlease_Ltd.zip,
Abhishek Finlease Ltd.,Abhishek Finlease Ltd,FY2023-24,2024,Screener/BSE index,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a74b570b-12a3-49cd-b6d0-01fa11299557.pdf,DOWNLOADED,Abhishek_Finlease_Ltd.zip,
Abhishek Finlease Ltd.,Abhishek Finlease Ltd,FY2024-25,2025,Screener/BSE index,https://www.bseindia.com/xml-data/corpfiling/AttachHis/e921f43b-8a93-4546-bc36-236943467fed.pdf,DOWNLOADED,Abhishek_Finlease_Ltd.zip,
Acme Resources Ltd.,Acme Resources Ltd,FY2011-12,2012,Screener/BSE index,https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2012/ACME_RESOURCES_LTD-539391-MARCH-2012.PDF,DOWNLOADED,Acme_Resources_Ltd.zip,
Acme Resources Ltd.,Acme Resources Ltd,FY2012-13,2013,Screener/BSE index,https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2013/ACME_RESOURCES_LTD-539391-MARCH-2013.PDF,DOWNLOADED,Acme_Resources_Ltd.zip,
Acme Resources Ltd.,Acme Resources Ltd,FY2013-14,2014,Screener/BSE index,https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2014/ACME_RESOURCES_LTD-539391-MARCH-2014.PDF,DOWNLOADED,Acme_Resources_Ltd.zip,
Acme Resources Ltd.,Acme Resources Ltd,FY2014-15,2015,Screener/BSE index,https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2015/ACME_RESOURCES_LTD-539391-MARCH-2015.PDF,DOWNLOADED,Acme_Resources_Ltd.zip,
Acme Resources Ltd.,Acme Resources Ltd,FY2015-16,2016,Screener/BSE index,https://www.bseindia.com/bseplus/AnnualReport/539391/5393910316.pdf,DOWNLOADED,Acme_Resources_Ltd.zip,
Acme Resources Ltd.,Acme Resources Ltd,FY2016-17,2017,Screener/BSE index,https://www.bseindia.com/bseplus/AnnualReport/539391/5393910317.pdf,DOWNLOADED,Acme_Resources_Ltd.zip,
Acme Resources Ltd.,Acme Resources Ltd,FY2017-18,2018,Screener/BSE index,https://www.bseindia.com/bseplus/AnnualReport/539391/5393910318.pdf,DOWNLOADED,Acme_Resources_Ltd.zip,
Acme Resources Ltd.,Acme Resources Ltd,FY2018-19,2019,Screener/BSE index,https://www.bseindia.com/bseplus/AnnualReport/539391/5393910319.pdf,DOWNLOADED,Acme_Resources_Ltd.zip,
Acme Resources Ltd.,Acme Resources Ltd,FY2019-20,2020,Screener/BSE index,https://www.bseindia.com/bseplus/AnnualReport/539391/68293539391.pdf,DOWNLOADED,Acme_Resources_Ltd.zip,
Acme Resources Ltd.,Acme Resources Ltd,FY2020-21,2021,Screener/BSE index,https://www.bseindia.com/bseplus/AnnualReport/539391/71000539391_01_10_21.pdf,DOWNLOADED,Acme_Resources_Ltd.zip,
Acme Resources Ltd.,Acme Resources Ltd,FY2021-22,2022,Screener/BSE index,https://www.bseindia.com/bseplus/AnnualReport/539391/75491539391.pdf,DOWNLOADED,Acme_Resources_Ltd.zip,
Acme Resources Ltd.,Acme Resources Ltd,FY2022-23,2023,Screener/BSE index,https://www.bseindia.com/xml-data/corpfiling/AttachHis/7d088c91-a9d8-49e1-9e66-1a9a04ad0e70.pdf,DOWNLOADED,Acme_Resources_Ltd.zip,
Acme Resources Ltd.,Acme Resources Ltd,FY2023-24,2024,Screener/BSE index,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ac281931-9cf3-4f4c-86bd-7347c68bbab9.pdf,DOWNLOADED,Acme_Resources_Ltd.zip,
Acme Resources Ltd.,Acme Resources Ltd,FY2024-25,2025,Screener/BSE index,https://www.bseindia.com/xml-data/corpfiling/AttachHis/63b2c49a-6090-4442-9700-91e182f09ef8.pdf,DOWNLOADED,Acme_Resources_Ltd.zip,
Acme Resources Ltd.,Acme Resources Ltd,FY2025-26,2026,Screener/BSE index,https://www.bseindia.com/xml-data/corpfiling/AttachLive/3e357977-89ab-4028-b1aa-0f83ec0c9dd2.pdf,DOWNLOADED,Acme_Resources_Ltd.zip,
